iter	Passed	Remaining
290	7012	113479
291	7037	113464
292	7060	113432
293	7083	113384
294	7108	113374
295	7133	113371
296	7153	113283
297	7178	113271
298	7203	113260
299	7226	113214
300	7249	113176
301	7273	113144
302	7296	113110
303	7318	113044
304	7338	112970
305	7360	112915
306	7385	112896
307	7407	112850
308	7430	112811
309	7454	112775
310	7474	112694
311	7499	112691
312	7522	112646
313	7546	112620
314	7567	112556
315	7590	112509
316	7611	112444
317	7640	112494
318	7665	112485
319	7690	112474
320	7711	112409
321	7734	112373
322	7757	112328
323	7780	112291
324	7800	112212
325	7823	112172
326	7846	112129
327	7869	112087
328	7891	112041
329	7913	111994
330	7934	111926
331	7957	111888
332	7977	111804
333	8000	111764
334	8022	111712
335	8045	111678
336	8066	111618
337	8088	111569
338	8109	111505
339	8132	111465
340	8156	111446
341	8177	111375
342	8203	111386
343	8224	111311
344	8249	111311
345	8272	111273
346	8295	111238
347	8317	111182
348	8338	111122
349	8359	111067
350	8379	110986
351	8403	110963
352	8428	110950
353	8452	110926
354	8473	110869
355	8494	110810
356	8517	110771
357	8539	110730
358	8563	110699
359	8584	110645
360	8606	110603
361	8628	110550
362	8651	110520
363	8672	110454
364	8694	110412
365	8719	110397
366	8741	110350
367	8761	110283
368	8783	110239
369	8802	110153
370	8825	110119
371	8853	110143
372	8874	110082
373	8894	110021
374	8916	109969
375	8934	109880
376	8960	109879
377	8981	109815
378	9004	109784
379	9027	109751
380	9049	109715
381	9074	109707
382	9094	109633
383	9116	109593
384	9140	109561
385	9162	109522
386	9183	109469
387	9206	109432
388	9232	109435
389	9253	109377
390	9275	109341
391	9296	109277
392	9319	109246
393	9342	109219
394	9366	109194
395	9388	109150
396	9412	109130
397	9432	109068
398	9454	109026
399	9477	108992
400	9502	108981
401	9526	108962
402	9550	108938
403	9572	108898
404	9596	108875
405	9618	108839
406	9641	108801
407	9663	108761
408	9684	108711
409	9706	108670
410	9729	108629
411	9750	108582
412	9773	108551
413	9794	108493
414	9815	108446
415	9836	108395
416	9859	108357
417	9881	108316
418	9903	108273
419	9924	108228
420	9948	108200
421	9972	108184
422	9995	108154
423	10016	108104
424	10039	108075
425	10065	108075
426	10088	108043
427	10108	107983
428	10129	107924
429	10151	107891
430	10178	107903
431	10200	107856
432	10226	107864
433	10250	107846
434	10275	107832
435	10300	107826
436	10325	107818
437	10350	107807
438	10375	107798
439	10399	107780
440	10428	107809
441	10452	107786
442	10476	107767
443	10501	107762
444	10523	107714
445	10544	107667
446	10567	107640
447	10592	107623
448	10614	107582
449	10637	107551
450	10658	107510
451	10683	107494
452	10705	107461
453	10726	107408
454	10749	107376
455	10772	107346
456	10793	107301
457	10817	107280
458	10837	107215
459	10858	107169
460	10880	107129
461	10904	107109
462	10925	107064
463	10948	107030
464	10971	107005
465	10993	106967
466	11015	106923
467	11037	106883
468	11058	106834
469	11081	106807
470	11104	106781
471	11126	106739
472	11149	106708
473	11173	106686
474	11194	106639
475	11217	106616
476	11242	106600
477	11264	106568
478	11283	106502
479	11306	106469
480	11329	106437
481	11350	106388
482	11372	106354
483	11397	106342
484	11421	106322
485	11443	106290
486	11467	106270
487	11490	106237
488	11511	106191
489	11533	106153
490	11555	106119
491	11575	106065
492	11598	106036
493	11620	105998
494	11645	105982
495	11669	105971
496	11691	105927
497	11713	105889
498	11734	105849
499	11753	105779
500	11777	105758
501	11805	105779
502	11826	105737
503	11849	105702
504	11869	105647
505	11892	105623
506	11915	105598
507	11939	105571
508	11960	105528
509	11983	105499
510	12002	105435
511	12026	105419
512	12048	105381
513	12070	105350
514	12094	105324
515	12118	105307
516	12141	105283
517	12163	105248
518	12185	105206
519	12211	105206
520	12234	105178
521	12258	105160
522	12280	105124
523	12302	105090
524	12325	105061
525	12349	105038
526	12371	105006
527	12393	104969
528	12415	104932
529	12437	104900
530	12461	104879
531	12482	104837
532	12506	104812
533	12527	104770
534	12549	104736
535	12570	104692
536	12592	104659
537	12619	104665
538	12640	104620
539	12664	104602
540	12688	104582
541	12709	104532
542	12731	104503
543	12756	104487
544	12779	104463
545	12802	104436
546	12825	104413
547	12847	104377
548	12875	104387
549	12897	104354
550	12922	104342
551	12945	104311
552	12969	104295
553	12989	104247
554	13012	104216
555	13034	104182
556	13057	104152
557	13078	104115
558	13098	104063
559	13121	104032
560	13143	103997
561	13165	103962
562	13186	103925
563	13214	103935
564	13236	103903
565	13259	103870
566	13280	103829
567	13301	103789
568	13323	103758
569	13351	103766
570	13375	103748
571	13399	103725
572	13424	103717
573	13450	103717
574	13473	103685
575	13498	103678
576	13525	103677
577	13547	103647
578	13572	103633
579	13596	103610
580	13621	103601
581	13644	103577
582	13667	103549
583	13690	103520
584	13714	103506
585	13738	103483
586	13763	103469
587	13784	103431
588	13807	103402
589	13830	103376
590	13854	103358
591	13877	103334
592	13902	103317
593	13925	103291
594	13947	103259
595	13973	103255
596	13994	103213
597	14020	103206
598	14043	103177
599	14062	103128
600	14087	103113
601	14110	103084
602	14133	103063
603	14157	103037
604	14178	102998
605	14202	102976
606	14227	102964
607	14252	102957
608	14273	102911
609	14296	102887
610	14318	102853
611	14343	102844
612	14364	102797
613	14388	102785
614	14410	102751
615	14431	102708
616	14453	102671
617	14482	102693
618	14509	102691
619	14531	102656
620	14554	102630
621	14575	102593
622	14599	102571
623	14619	102527
624	14640	102485
625	14661	102439
626	14685	102426
627	14706	102384
628	14730	102361
629	14754	102342
630	14779	102335
631	14803	102309
632	14827	102292
633	14852	102279
634	14873	102240
635	14896	102212
636	14919	102190
637	14941	102152
638	14965	102132
639	14987	102099
640	15010	102076
641	15032	102043
642	15055	102020
643	15083	102023
644	15104	101983
645	15128	101968
646	15151	101937
647	15175	101919
648	15197	101883
649	15220	101859
650	15240	101813
651	15263	101785
652	15282	101733
653	15306	101713
654	15327	101678
655	15351	101654
656	15373	101623
657	15396	101600
658	15422	101593
659	15443	101549
660	15465	101522
661	15493	101526
662	15515	101495
663	15539	101475
664	15560	101434
665	15584	101419
666	15607	101389
667	15632	101377
668	15652	101332
669	15677	101321
670	15701	101300
671	15722	101263
672	15746	101241
673	15773	101243
674	15795	101206
675	15820	101192
676	15842	101162
677	15863	101126
678	15887	101104
679	15918	101131
680	15942	101108
681	15964	101074
682	15983	101026
683	16006	100999
684	16033	101000
685	16056	100971
686	16079	100947
687	16099	100899
688	16120	100866
689	16143	100838
690	16166	100810
691	16189	100788
692	16210	100750
693	16237	100747
694	16260	100721
695	16280	100677
696	16303	100649
697	16327	100633
698	16351	100613
699	16376	100595
700	16396	100551
701	16418	100519
702	16441	100495
703	16464	100473
704	16488	100453
705	16510	100420
706	16533	100393
707	16556	100365
708	16585	100378
709	16605	100333
710	16629	100314
711	16653	100293
712	16675	100265
713	16699	100243
714	16720	100204
715	16745	100192
716	16767	100160
717	16791	100139
718	16818	100141
719	16839	100102
720	16861	100066
721	16883	100035
722	16905	100006
723	16929	99985
724	16953	99968
725	16976	99940
726	16997	99905
727	17019	99874
728	17039	99829
729	17059	99789
730	17081	99752
731	17100	99707
732	17120	99661
733	17143	99636
734	17167	99617
735	17190	99594
736	17213	99568
737	17236	99543
738	17259	99515
739	17279	99475
740	17301	99441
741	17325	99420
742	17347	99394
743	17369	99363
744	17391	99328
745	17412	99294
746	17434	99260
747	17456	99230
748	17482	99221
749	17503	99187
750	17526	99159
751	17547	99127
752	17572	99109
753	17599	99110
754	17622	99084
755	17646	99060
756	17666	99019
757	17686	98977
758	17707	98945
759	17732	98927
760	17755	98904
761	17778	98876
762	17800	98847
763	17823	98824
764	17843	98780
765	17867	98761
766	17888	98722
767	17909	98687
768	17930	98654
769	17954	98632
770	17981	98629
771	18005	98608
772	18028	98585
773	18052	98567
774	18073	98531
775	18093	98487
776	18116	98464
777	18141	98448
778	18164	98424
779	18187	98399
780	18207	98357
781	18227	98318
782	18251	98294
783	18273	98265
784	18295	98234
785	18320	98222
786	18342	98194
787	18366	98173
788	18385	98126
789	18407	98095
790	18427	98056
791	18449	98022
792	18467	97974
793	18490	97946
794	18513	97921
795	18538	97910
796	18567	97916
797	18591	97895
798	18617	97889
799	18639	97858
800	18663	97836
801	18685	97809
802	18709	97785
803	18728	97742
804	18752	97720
805	18774	97691
806	18795	97659
807	18820	97644
808	18842	97613
809	18867	97600
810	18894	97595
811	18915	97558
812	18939	97537
813	18960	97505
814	18978	97455
815	19005	97451
816	19027	97418
817	19047	97381
818	19072	97365
819	19096	97346
820	19118	97316
821	19140	97287
822	19165	97272
823	19184	97227
824	19207	97200
825	19234	97195
826	19257	97171
827	19280	97148
828	19303	97120
829	19324	97087
830	19344	97048
831	19363	97004
832	19390	96996
833	19413	96974
834	19436	96949
835	19459	96926
836	19481	96897
837	19504	96870
838	19527	96847
839	19548	96810
840	19571	96785
841	19599	96787
842	19622	96763
843	19647	96749
844	19670	96723
845	19688	96675
846	19713	96659
847	19734	96626
848	19754	96583
849	19774	96544
850	19796	96518
851	19815	96472
852	19836	96437
853	19860	96419
854	19881	96386
855	19905	96363
856	19925	96327
857	19949	96307
858	19971	96279
859	19994	96253
860	20013	96207
861	20035	96180
862	20054	96135
863	20074	96099
864	20096	96067
865	20118	96040
866	20141	96015
867	20160	95973
868	20183	95945
869	20205	95917
870	20225	95881
871	20249	95860
872	20268	95815
873	20289	95783
874	20311	95754
875	20332	95721
876	20356	95700
877	20378	95672
878	20401	95649
879	20422	95613
880	20447	95600
881	20469	95571
882	20490	95538
883	20511	95504
884	20536	95489
885	20556	95453
886	20578	95422
887	20601	95399
888	20624	95372
889	20646	95343
890	20668	95317
891	20693	95300
892	20716	95275
893	20739	95251
894	20760	95221
895	20783	95194
896	20803	95159
897	20824	95126
898	20845	95091
899	20864	95047
900	20890	95036
901	20912	95010
902	20936	94989
903	20958	94960
904	20980	94933
905	21001	94900
906	21025	94880
907	21048	94857
908	21072	94837
909	21096	94819
910	21121	94801
911	21144	94780
912	21168	94760
913	21193	94743
914	21213	94705
915	21237	94685
916	21259	94661
917	21280	94627
918	21303	94603
919	21326	94579
920	21347	94547
921	21369	94518
922	21388	94476
923	21409	94441
924	21432	94419
925	21454	94392
926	21474	94354
927	21495	94321
928	21517	94292
929	21539	94265
930	21562	94241
931	21583	94205
932	21605	94180
933	21633	94179
934	21658	94162
935	21680	94134
936	21703	94110
937	21723	94075
938	21743	94037
939	21765	94009
940	21789	93988
941	21810	93954
942	21831	93925
943	21856	93907
944	21878	93879
945	21900	93853
946	21920	93815
947	21943	93793
948	21966	93769
949	21990	93750
950	22013	93723
951	22034	93693
952	22058	93672
953	22078	93636
954	22099	93603
955	22122	93580
956	22145	93558
957	22167	93527
958	22191	93510
959	22214	93487
960	22238	93466
961	22261	93444
962	22284	93419
963	22306	93389
964	22334	93386
965	22355	93356
966	22382	93348
967	22404	93321
968	22432	93319
969	22452	93284
970	22476	93261
971	22497	93231
972	22517	93195
973	22538	93162
974	22563	93147
975	22584	93114
976	22607	93089
977	22630	93067
978	22652	93040
979	22675	93015
980	22697	92988
981	22722	92970
982	22740	92926
983	22763	92905
984	22786	92880
985	22807	92849
986	22829	92819
987	22852	92797
988	22872	92762
989	22895	92737
990	22917	92711
991	22939	92684
992	22962	92661
993	22984	92629
994	23006	92602
995	23028	92575
996	23048	92540
997	23071	92516
998	23094	92492
999	23114	92458
1000	23133	92418
1001	23156	92395
1002	23177	92362
1003	23199	92337
1004	23222	92312
1005	23241	92271
1006	23264	92248
1007	23288	92229
1008	23308	92193
1009	23329	92161
1010	23354	92147
1011	23376	92118
1012	23397	92089
1013	23422	92072
1014	23445	92050
1015	23467	92021
1016	23489	91993
1017	23511	91966
1018	23534	91942
1019	23558	91923
1020	23580	91897
1021	23605	91883
1022	23626	91850
1023	23648	91824
1024	23671	91800
1025	23700	91799
1026	23722	91771
1027	23743	91740
1028	23768	91725
1029	23793	91709
1030	23814	91676
1031	23838	91659
1032	23861	91635
1033	23897	91660
1034	23922	91644
1035	23947	91630
